name,type_of_place,google_place_id,address,website,phone_number,rating,hours,reviews,products_services,traffic_summary,specials,favorite_products_services,weekly_events,popular_times,product_service_details,customer_demographics,events_activities,service_quality,ambiance,accessibility,special_features,health_safety,user_generated_content,picture_links,Latitude,Longitude,category,last_updated,unique_id
100 Men Hall,Event Venue,ChIJ8R_oMKl_nIgRfrWibA07xxg,"303 Union St, Bay Saint Louis, MS 39520",https://www.100menhall.org/,+1 228-342-5770,4.9,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: 5:00 PM - 10:00 PM, Friday: 5:00 PM - 12:00 AM, Saturday: 5:00 PM - 12:00 AM, Sunday: Closed",Historic venue with great live music and events. Friendly staff and vibrant atmosphere.,"Live music, event hosting",Busy during events and weekends.,Live music events,"Live music, Event hosting",Live music every Friday and Saturday,Evenings on weekends,Event hosting: Varies,"Mix of locals and tourists, generally ages 25-60","Live music, Special events",Highly rated for friendly and helpful staff,Historic and vibrant atmosphere,"Wheelchair accessible, parking available",Historic venue with rich cultural heritage,"Regular cleaning, adherence to health guidelines",Photos and videos from live events,"https://www.example.com/photo1, https://www.example.com/photo2",30.3095694,-89.3348131,Entertainment,2024-09-20,1
200 North Beach Restaurant,Restaurant,ChIJO9Q4SMl_nIgR1VFd07bHiyQ,"200 N Beach Blvd, Bay Saint Louis, MS 39520",http://www.200northbeach.com/,+1 228-467-9388,4.3,"Monday: 11:00 AM - 9:00 PM, Tuesday: 11:00 AM - 9:00 PM, Wednesday: 11:00 AM - 9:00 PM, Thursday: 11:00 AM - 9:00 PM, Friday: 11:00 AM - 10:00 PM, Saturday: 11:00 AM - 10:00 PM, Sunday: 11:00 AM - 9:00 PM","Excellent dishes, upscale atmosphere, and attentive staff. Variety of menu options and competitive prices.","Steaks, seafood, regional fare, cocktails",Busy during dinner hours and weekends.,Not specified,"Steaks, Seafood dishes",Not specified,Dinner hours and weekends,"Steaks: $20-$40, Seafood dishes: $15-$30, Cocktails: $8-$12","Mix of locals and tourists, generally ages 25-60",Occasional special events,Highly rated for professional and attentive service,"Upscale atmosphere with water views, patio tables","Wheelchair accessible, limited parking available","Water views, patio seating","Adheres to health guidelines, regular cleaning and sanitization",Positive reviews and photos from customers,"https://www.example.com/photo1, https://www.example.com/photo2",30.3112387,-89.3253369,Restaurant,2024-09-20,2
Alice Moseley Folk Art & Antique Museum,Museum,ChIJ6y6axMJ_nIgRrD8gU45O4_Q,"1928 Depot Way, Bay Saint Louis, MS 39520",https://www.alicemoseley.com/,+1 228-467-9223,4.8,"Monday: 10:00 AM - 4:00 PM, Tuesday: 10:00 AM - 4:00 PM, Wednesday: 10:00 AM - 4:00 PM, Thursday: 10:00 AM - 4:00 PM, Friday: 10:00 AM - 4:00 PM, Saturday: 10:00 AM - 4:00 PM, Sunday: Closed",Charming museum dedicated to the folk art of Alice Moseley. Friendly staff and informative exhibits.,"Art exhibits, antique collections","Steady flow of visitors, busiest on weekends.",Not specified,"Folk art exhibits, Antique collections",Not specified,Weekends,Art exhibits: Free entry,"Art enthusiasts, tourists, families","Art tours, Special exhibits",Highly rated for friendly and knowledgeable staff,Charming and informative,"Wheelchair accessible, parking available",Unique folk art and antique collections,"Regular cleaning, adherence to health guidelines",Photos and videos from exhibits,"https://www.example.com/photo1, https://www.example.com/photo2",30.3084851,-89.334223,Entertainment,2024-09-20,3
Antique Maison,Antique Store,ChIJQ_dGzM1_nIgR_PWyZV5cXbE,"111 N 2nd St, Bay Saint Louis, MS 39520",https://www.antiquemaison.com/,+1 228-466-4848,4.5,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: 11:00 AM - 5:00 PM",Charming antique store with a wide variety of items. Friendly staff and a cozy atmosphere.,"Antiques, vintage items","Steady flow of visitors, busiest on weekends.",Seasonal sales,"Antiques, Vintage items",Not specified,Weekends,Antiques: Varies,"Antique enthusiasts, tourists, collectors","Seasonal sales, special events",Highly rated for friendly and knowledgeable staff,Cozy and charming atmosphere,"Wheelchair accessible, parking available",Wide variety of unique items,"Regular cleaning, adherence to health guidelines",Photos and videos of items,"https://www.example.com/photo1, https://www.example.com/photo2",30.3118202,-89.32846,Shop,2024-09-20,4
Bay Elements,Gift Shop,ChIJlT_sYM1_nIgRmRUS7XbXt1g,"112 S 2nd St, Bay Saint Louis, MS 39520",https://www.bayelements.com/,+1 228-466-4970,4.6,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Unique gift shop with a variety of local and handmade items. Friendly staff and a welcoming atmosphere.,"Gifts, local items, handmade items","Steady flow of visitors, busiest on weekends.",Not specified,"Local items, Handmade items",Not specified,Weekends,Gifts: Varies,"Tourists, locals, gift shoppers","Special events, product launches",Highly rated for friendly and helpful staff,Welcoming and charming atmosphere,"Wheelchair accessible, parking available",Unique and locally made products,"Regular cleaning, adherence to health guidelines",Photos and videos of items,"https://www.example.com/photo1, https://www.example.com/photo2",30.3107692,-89.3294007,Shop,2024-09-20,5
Bay Life Gifts,Gift Shop,ChIJG3g_KMh_nIgRm1mA9TeNH2M,"111 Main St, Bay Saint Louis, MS 39520",https://www.baylifegifts.com/,+1 228-466-4970,4.6,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Lovely gift shop with a range of local and unique products. Friendly staff and inviting atmosphere.,"Gifts, local products, unique items","Steady flow of visitors, busiest on weekends.",Not specified,"Local products, Unique items",Not specified,Weekends,Gifts: Varies,"Tourists, locals, gift shoppers","Special events, product launches",Highly rated for friendly and helpful staff,Inviting and charming atmosphere,"Wheelchair accessible, parking available",Range of unique and locally sourced products,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3107654,-89.3261147,Shop,2024-09-20,6
Bay St Louis Little Theatre,Theater,ChIJc5cOzMl_nIgRCvsYgQ5tUPs,"398 Blaize Ave, Bay Saint Louis, MS 39520",https://www.bsllt.org/,+1 228-467-9024,4.8,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: Closed, Friday: 7:00 PM - 10:00 PM, Saturday: 7:00 PM - 10:00 PM, Sunday: 2:00 PM - 5:00 PM",Charming local theater with a variety of performances. Friendly staff and a cozy atmosphere.,"Theater performances, events",Busy during performances and events.,Seasonal shows,"Theater performances, Local productions",Regular performances,Evenings on weekends,Tickets: $10-$20,"Locals, theater enthusiasts, tourists","Seasonal shows, special performances",Highly rated for friendly and helpful staff,Cozy and intimate atmosphere,"Wheelchair accessible, parking available",Local productions and community events,"Regular cleaning, adherence to health guidelines",Photos and videos of performances,"https://www.example.com/photo1, https://www.example.com/photo2",30.306956,-89.3365309,Other,2024-09-20,7
Bay Town Inn,Hotel,ChIJox7_qMV_nIgR_9DkLs3v-OA,"208 N Beach Blvd, Bay Saint Louis, MS 39520",https://www.baytowninn.com/,+1 228-344-3044,4.9,"Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM, Sunday: 7:00 AM - 10:00 PM",Charming inn with beautiful rooms and excellent service. Perfect location with stunning views.,Hotel accommodations,Busy during weekends and holidays.,Special packages available,"Comfortable rooms, Great views",Not specified,Weekends and holidays,Rooms: $150-$300 per night,"Tourists, couples, families","Special packages, events",Highly rated for excellent service and friendly staff,Charming and welcoming atmosphere,"Wheelchair accessible, parking available",Beautiful rooms with stunning views,"Regular cleaning, adherence to health guidelines",Photos and videos of rooms and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.3114128,-89.3252526,Other,2024-09-20,8
Baytique,Boutique,ChIJqZgGZM1_nIgRoqgZX2nA7cw,"125 Main St, Bay Saint Louis, MS 39520",https://www.baytiquebsl.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: Closed",Trendy boutique with a variety of stylish clothing and accessories. Friendly staff and inviting atmosphere.,"Clothing, accessories","Steady flow of visitors, busiest on weekends.",Seasonal sales,"Stylish clothing, Accessories",Not specified,Weekends,Clothing: Varies,"Locals, tourists, fashion enthusiasts","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Trendy and inviting atmosphere,"Wheelchair accessible, parking available",Stylish and unique fashion items,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.310811,-89.3264941,Other,2024-09-20,9
Biz-Zee Bee,Toy Store,ChIJR90pZc1_nIgR7vJp38p11SE,"111 Court St, Bay Saint Louis, MS 39520",https://www.bizzeebee.com/,+1 228-344-3044,4.8,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: Closed",Charming toy store with a wide variety of toys and games. Friendly staff and a fun atmosphere.,"Toys, games","Steady flow of visitors, busiest on weekends.",Not specified,"Toys, Games",Not specified,Weekends,Toys: Varies,"Families, tourists, children","Special events, product launches",Highly rated for friendly and helpful staff,Fun and welcoming atmosphere,"Wheelchair accessible, parking available",Wide variety of toys and games,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.310139,-89.3272353,Other,2024-09-20,10
Blu Bay,Restaurant,ChIJxQKOLM1_nIgR7n7uA3tP2Og,"111 Main St, Bay Saint Louis, MS 39520",https://www.blubaybsl.com/,+1 228-344-3044,4.4,"Monday: 11:00 AM - 9:00 PM, Tuesday: 11:00 AM - 9:00 PM, Wednesday: 11:00 AM - 9:00 PM, Thursday: 11:00 AM - 9:00 PM, Friday: 11:00 AM - 10:00 PM, Saturday: 11:00 AM - 10:00 PM, Sunday: 11:00 AM - 9:00 PM",Delicious seafood and great service. Beautiful location with stunning views.,"Seafood, regional fare",Busy during dinner hours and weekends.,Not specified,Seafood dishes,Not specified,Dinner hours and weekends,Seafood: $15-$30,"Locals, tourists, seafood enthusiasts",Occasional special events,Highly rated for excellent service and friendly staff,Beautiful location with stunning views,"Wheelchair accessible, parking available",Delicious seafood dishes,"Regular cleaning, adherence to health guidelines",Photos and videos of dishes and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.3107654,-89.3261147,Restaurant,2024-09-20,11
Bodega Adventure Rentals,Recreational Equipment Rental,ChIJTV_taMt_nIgRkt8_lRJdQ_4,"111 Court St, Bay Saint Louis, MS 39520",https://www.bodegaadventurerentals.com/,+1 228-344-3044,4.7,"Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM, Sunday: 8:00 AM - 8:00 PM","Great place to rent bikes, kayaks, and paddleboards. Friendly staff and reasonable prices.","Bike rentals, kayak rentals, paddleboard rentals","Steady flow of visitors, busiest on weekends.",Not specified,"Bike rentals, Kayak rentals",Not specified,Weekends,"Bike rental: $20/day, Kayak rental: $30/day","Tourists, adventure seekers, locals","Special events, guided tours",Highly rated for friendly and helpful staff,Fun and adventurous atmosphere,"Wheelchair accessible, parking available",Variety of adventure rentals,"Regular cleaning, adherence to health guidelines",Photos and videos of rentals and activities,"https://www.example.com/photo1, https://www.example.com/photo2",30.310139,-89.3272353,Other,2024-09-20,12
Bodega Spirits & Liquor,Liquor Store,ChIJTV_taMt_nIgRn5XLd6EL-sU,"111 Court St, Bay Saint Louis, MS 39520",https://www.bodegaspiritsandliquor.com/,+1 228-344-3044,4.8,"Monday: 10:00 AM - 8:00 PM, Tuesday: 10:00 AM - 8:00 PM, Wednesday: 10:00 AM - 8:00 PM, Thursday: 10:00 AM - 8:00 PM, Friday: 10:00 AM - 10:00 PM, Saturday: 10:00 AM - 10:00 PM, Sunday: 12:00 PM - 8:00 PM",Well-stocked liquor store with a great selection. Friendly staff and good prices.,"Liquor, wine, beer","Steady flow of customers, busiest on weekends.",Seasonal sales,"Liquor, Wine, Beer",Not specified,Weekends,Liquor: Varies,"Locals, tourists, event planners","Seasonal sales, tasting events",Highly rated for friendly and helpful staff,Well-stocked and organized,"Wheelchair accessible, parking available",Great selection of products,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.310139,-89.3272353,Other,2024-09-20,13
Cafe BoneJour,Cafe,ChIJo23saMt_nIgRyduFxiN4wvw,"126 Main St, Bay Saint Louis, MS 39520",https://www.cafebonejour.com/,+1 228-344-3044,4.5,"Monday: 7:00 AM - 3:00 PM, Tuesday: 7:00 AM - 3:00 PM, Wednesday: 7:00 AM - 3:00 PM, Thursday: 7:00 AM - 3:00 PM, Friday: 7:00 AM - 3:00 PM, Saturday: 7:00 AM - 3:00 PM, Sunday: 7:00 AM - 3:00 PM",Charming cafe with great coffee and pastries. Friendly staff and cozy atmosphere.,"Coffee, pastries, light meals","Steady flow of customers, busiest in the mornings.",Not specified,"Coffee, Pastries",Not specified,Mornings,"Coffee: $2-$5, Pastries: $3-$6","Locals, tourists, coffee lovers",Occasional special events,Highly rated for friendly and helpful staff,Cozy and welcoming atmosphere,"Wheelchair accessible, parking available",Great coffee and pastries,"Regular cleaning, adherence to health guidelines",Photos and videos of food and drinks,"https://www.example.com/photo1, https://www.example.com/photo2",30.3105203,-89.326648,Other,2024-09-20,14
California Drawstrings,Clothing Store,ChIJG_mBcc1_nIgRkjr0YkaYtsE,"216 Main St, Bay Saint Louis, MS 39520",https://www.californiadrawstrings.com/,+1 228-344-3044,4.6,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: 12:00 PM - 5:00 PM",Trendy clothing store with a variety of stylish apparel. Friendly staff and great service.,"Clothing, accessories","Steady flow of customers, busiest on weekends.",Seasonal sales,"Stylish clothing, Accessories",Not specified,Weekends,Clothing: Varies,"Locals, tourists, fashion enthusiasts","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Trendy and welcoming atmosphere,"Wheelchair accessible, parking available",Stylish and unique fashion items,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3115498,-89.3300146,Other,2024-09-20,15
Clay Creations,Art Gallery,ChIJ28X4cM1_nIgR-3xg7VDqJ_g,"220 Main St, Bay Saint Louis, MS 39520",https://www.claycreations.com/,+1 228-344-3044,4.7,"Monday: 10:00 AM - 5:00 PM, Tuesday: 10:00 AM - 5:00 PM, Wednesday: 10:00 AM - 5:00 PM, Thursday: 10:00 AM - 5:00 PM, Friday: 10:00 AM - 5:00 PM, Saturday: 10:00 AM - 5:00 PM, Sunday: 12:00 PM - 5:00 PM",Beautiful art gallery with unique clay creations. Friendly staff and great atmosphere.,"Art, clay creations","Steady flow of visitors, busiest on weekends.",Not specified,"Clay art, Unique creations",Not specified,Weekends,Art: Varies,"Art enthusiasts, tourists, collectors","Special exhibits, art shows",Highly rated for friendly and helpful staff,Creative and inspiring atmosphere,"Wheelchair accessible, parking available",Unique and beautiful art pieces,"Regular cleaning, adherence to health guidelines",Photos and videos of art pieces,"https://www.example.com/photo1, https://www.example.com/photo2",30.311714,-89.3300855,Other,2024-09-20,16
Cloud Nin9 Smoke & Co.,Smoke Shop,ChIJo9c6esZ_nIgRA7q9P3vnO2E,"100 Sycamore St, Bay Saint Louis, MS 39520",https://www.cloudnin9smoke.com/,+1 228-344-3044,4.5,"Monday: 10:00 AM - 8:00 PM, Tuesday: 10:00 AM - 8:00 PM, Wednesday: 10:00 AM - 8:00 PM, Thursday: 10:00 AM - 8:00 PM, Friday: 10:00 AM - 10:00 PM, Saturday: 10:00 AM - 10:00 PM, Sunday: 12:00 PM - 8:00 PM",Well-stocked smoke shop with a variety of products. Friendly staff and reasonable prices.,"Smoke products, accessories","Steady flow of customers, busiest on weekends.",Not specified,"Smoke products, Accessories",Not specified,Weekends,Products: Varies,"Locals, tourists, smokers","Special events, product launches",Highly rated for friendly and helpful staff,Well-stocked and organized,"Wheelchair accessible, parking available",Great selection of products,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.304286,-89.3299473,Other,2024-09-20,17
Coastal Payments Systems,Financial Service,ChIJ1yp6e8Z_nIgRkBvNOHyXtEY,"600 Central Ave, Bay Saint Louis, MS 39520",https://www.coastalpaymentsystems.com/,+1 228-344-3044,4.7,"Monday: 9:00 AM - 5:00 PM, Tuesday: 9:00 AM - 5:00 PM, Wednesday: 9:00 AM - 5:00 PM, Thursday: 9:00 AM - 5:00 PM, Friday: 9:00 AM - 5:00 PM, Saturday: Closed, Sunday: Closed",Excellent financial services with friendly and knowledgeable staff. Highly recommended.,"Financial services, payments","Steady flow of customers, busiest on weekdays.",Not specified,"Financial services, Payments",Not specified,Weekdays,Services: Varies,"Businesses, locals, tourists","Special events, seminars",Highly rated for friendly and knowledgeable staff,Professional and organized atmosphere,"Wheelchair accessible, parking available",Wide range of financial services,"Regular cleaning, adherence to health guidelines",Photos and videos of services,"https://www.example.com/photo1, https://www.example.com/photo2",30.3027825,-89.3458346,Other,2024-09-20,18
Cotton Exchange,Clothing Store,ChIJNwcOcM1_nIgRqIG2V98D5gI,"112 S 2nd St, Bay Saint Louis, MS 39520",https://www.cottonexchange.com/,+1 228-344-3044,4.6,"Monday: 10:00 AM - 6:00 PM, Tuesday: 10:00 AM - 6:00 PM, Wednesday: 10:00 AM - 6:00 PM, Thursday: 10:00 AM - 6:00 PM, Friday: 10:00 AM - 6:00 PM, Saturday: 10:00 AM - 6:00 PM, Sunday: 12:00 PM - 5:00 PM",Trendy clothing store with a variety of stylish apparel. Friendly staff and great service.,"Clothing, accessories","Steady flow of customers, busiest on weekends.",Seasonal sales,"Stylish clothing, Accessories",Not specified,Weekends,Clothing: Varies,"Locals, tourists, fashion enthusiasts","Seasonal sales, new arrivals",Highly rated for friendly and helpful staff,Trendy and welcoming atmosphere,"Wheelchair accessible, parking available",Stylish and unique fashion items,"Regular cleaning, adherence to health guidelines",Photos and videos of products,"https://www.example.com/photo1, https://www.example.com/photo2",30.3107692,-89.3294007,Other,2024-09-20,19
Creole Creamery,Ice Cream Shop,ChIJ9zVoSM1_nIgRke2SPAGNS7I,"209 Main St, Bay Saint Louis, MS 39520",https://www.creolecreamery.com/,+1 228-344-3044,4.8,"Monday: 12:00 PM - 9:00 PM, Tuesday: 12:00 PM - 9:00 PM, Wednesday: 12:00 PM - 9:00 PM, Thursday: 12:00 PM - 9:00 PM, Friday: 12:00 PM - 10:00 PM, Saturday: 12:00 PM - 10:00 PM, Sunday: 12:00 PM - 9:00 PM",Delicious ice cream with a variety of flavors. Friendly staff and great atmosphere.,"Ice cream, desserts","Steady flow of customers, busiest in the evenings.",Not specified,"Ice cream, Desserts",Not specified,Evenings,Ice cream: $3-$6,"Families, tourists, locals","Special events, new flavors",Highly rated for friendly and helpful staff,Fun and welcoming atmosphere,"Wheelchair accessible, parking available",Variety of delicious flavors,"Regular cleaning, adherence to health guidelines",Photos and videos of ice cream,"https://www.example.com/photo1, https://www.example.com/photo2",30.3117943,-89.3293438,Other,2024-09-20,20
Cuz's Old Town Oyster Bar & Grill,Restaurant,ChIJo19_xc1_nIgRmKqIyzD1aIM,"108 S Beach Blvd, Bay Saint Louis, MS 39520",https://www.cuzsoysterbar.com/,+1 228-344-3044,4.5,"Monday: 11:00 AM - 10:00 PM, Tuesday: 11:00 AM - 10:00 PM, Wednesday: 11:00 AM - 10:00 PM, Thursday: 11:00 AM - 10:00 PM, Friday: 11:00 AM - 11:00 PM, Saturday: 11:00 AM - 11:00 PM, Sunday: 11:00 AM - 10:00 PM",Delicious seafood with great service. Perfect location with stunning views.,"Seafood, regional fare",Busy during dinner hours and weekends.,Not specified,"Oysters, Seafood dishes",Not specified,Dinner hours and weekends,Seafood: $15-$30,"Locals, tourists, seafood enthusiasts",Occasional special events,Highly rated for friendly and helpful staff,Beautiful location with stunning views,"Wheelchair accessible, parking available",Delicious seafood dishes,"Regular cleaning, adherence to health guidelines",Photos and videos of dishes and views,"https://www.example.com/photo1, https://www.example.com/photo2",30.3103366,-89.3262162,Restaurant,2024-09-20,21
Daiquiri Shak,Bar,ChIJNwx5esZ_nIgRmIj-pIVGv6U,"151 Main St, Bay Saint Louis, MS 39520",https://www.daiquirishak.com/,+1 228-344-3044,4.6,"Monday: 11:00 AM - 11:00 PM, Tuesday: 11:00 AM - 11:00 PM, Wednesday: 11:00 AM - 11:00 PM, Thursday: 11:00 AM - 11:00 PM, Friday: 11:00 AM - 2:00 AM, Saturday: 11:00 AM - 2:00 AM, Sunday: 11:00 AM - 11:00 PM",Popular spot with a variety of daiquiris. Friendly staff and great atmosphere.,"Daiquiris, drinks","Steady flow of customers, busiest on weekends.",Happy hour specials,"Daiquiris, Frozen drinks",Live music on weekends,Evenings and weekends,Daiquiris: $5-$10,"Locals, tourists, nightlife enthusiasts","Live music, special events",Highly rated for friendly and helpful staff,Fun and lively atmosphere,"Wheelchair accessible, parking available",Wide variety of daiquiris,"Regular cleaning, adherence to health guidelines",Photos and videos of drinks and events,"https://www.example.com/photo1, https://www.example.com/photo2",30.3111243,-89.3279467,Bar,2024-09-20,22
